params,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_roc_auc,mean_test_average_precision
"{'C': 0.01, 'degree': 5, 'gamma': 'auto', 'kernel': 'rbf'}",0.6722927008641294,0.672972972972973,0.6161828291327696,0.6891891891891893,0.6433371575572856,0.7865287631207661,0.8066301270081851
"{'C': 0.01, 'degree': 5, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.6250643500643501,0.6256756756756756,0.9117359121748384,0.3472972972972973,0.4424220568878544,0.8440810210432572,0.8506341099453769
"{'C': 0.1, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear'}",0.7347766133480419,0.7347463902258424,0.7285134167139274,0.7537023324694558,0.7394847069477037,0.7992320161701871,0.7808647687031982
"{'C': 0.1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.5784932892075749,0.5785357275083303,0.9888888888888889,0.15844131803035916,0.2708821194692046,0.8564745789847604,0.867503207029856
"{'C': 0.1, 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf'}",0.7306811913954772,0.7307293594964828,0.7493175156843567,0.6928730099962976,0.7186038897815104,0.8140576062919639,0.8333257339979137
"{'C': 0.1, 'degree': 3, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.7665471594043022,0.7665771936319882,0.8349860872993575,0.6644576082932248,0.7383003362872984,0.8620385843081142,0.8676484387268836
"{'C': 0.1, 'degree': 3, 'gamma': 'auto', 'kernel': 'linear'}",0.7347766133480419,0.7347463902258424,0.7285134167139274,0.7537023324694558,0.7394847069477037,0.7992320161701871,0.7808647687031982
"{'C': 0.1, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.5899843721272292,0.5900314698259903,0.9888888888888889,0.18143280266567938,0.30440548386397276,0.8560185416812592,0.868196877908168
"{'C': 0.1, 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf'}",0.7279646993932707,0.7280174009626064,0.7371679693164479,0.7077378748611626,0.720687088606429,0.8098607122487167,0.8302277317132626
"{'C': 0.1, 'degree': 3, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.7712860820003676,0.7712976675305443,0.8360771819977032,0.6752684191040355,0.7456040310216011,0.8627347729069313,0.8677517786103692
"{'C': 0.1, 'degree': 5, 'gamma': 'scale', 'kernel': 'linear'}",0.7347766133480419,0.7347463902258424,0.7285134167139274,0.7537023324694558,0.7394847069477037,0.7992320161701871,0.7808647687031982
"{'C': 0.1, 'degree': 5, 'gamma': 'scale', 'kernel': 'poly'}",0.5622494943923515,0.5622732321362459,0.9875,0.1259163272861903,0.2222487739472679,0.8475374485926134,0.8679568011154768
"{'C': 0.1, 'degree': 5, 'gamma': 'scale', 'kernel': 'rbf'}",0.7306811913954772,0.7307293594964828,0.7493175156843567,0.6928730099962976,0.7186038897815104,0.8140576062919639,0.8333257339979137
"{'C': 0.1, 'degree': 5, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.7665471594043022,0.7665771936319882,0.8349860872993575,0.6644576082932248,0.7383003362872984,0.8620385843081142,0.8676484387268836
"{'C': 0.1, 'degree': 5, 'gamma': 'auto', 'kernel': 'linear'}",0.7347766133480419,0.7347463902258424,0.7285134167139274,0.7537023324694558,0.7394847069477037,0.7992320161701871,0.7808647687031982
"{'C': 0.1, 'degree': 5, 'gamma': 'auto', 'kernel': 'poly'}",0.5737543666115095,0.573796741947427,0.9875,0.1489633469085524,0.25705205574929957,0.8495549696308673,0.8695299210940624
"{'C': 0.1, 'degree': 5, 'gamma': 'auto', 'kernel': 'rbf'}",0.7279646993932707,0.7280174009626064,0.7371679693164479,0.7077378748611626,0.720687088606429,0.8098607122487167,0.8302277317132626
"{'C': 0.1, 'degree': 5, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.7712860820003676,0.7712976675305443,0.8360771819977032,0.6752684191040355,0.7456040310216011,0.8627347729069313,0.8677517786103692
"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear'}",0.7347766133480419,0.7347463902258424,0.7285134167139274,0.7537023324694558,0.7394847069477037,0.7990128781132113,0.7804961007560867
"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.692121713550285,0.6921510551647538,0.960167848763437,0.40057386153276564,0.5624948822401815,0.8671220368832365,0.8852853489979301
"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf'}",0.8024177238462953,0.8024527952610144,0.8220650860668661,0.774102184376157,0.7958129644568034,0.8752881815543793,0.8767572633352028
"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.778061224489796,0.7780636801184746,0.7923719109730626,0.7564605701592002,0.7724842805331799,0.8634162022073907,0.859219782958031
